Geneid	mock1	mock2	cov1	cov2
CNN2	418	364	333	410
ABCA7	222	228	158	145
HMHA1	133	102	71	80
POLR2E	890	849	626	665
GPX4	1864	1841	1154	1238
SBNO2	296	341	207	224
STK11	1001	935	461	475
CBARP	54	42	28	41
ATP5D	366	347	234	229
MIDN	415	411	297	386
CIRBP-AS1	55	36	69	53
CIRBP	4410	4997	1669	1742
C19orf24	90	66	75	91
EFNA2	78	67	36	43
MUM1	899	841	454	478
NDUFS7	348	300	169	179
GAMT	295	304	177	204
DAZAP1	2650	2754	1577	1834
RPS15	3082	2890	1236	1318
APC2	147	136	103	101
C19orf25	137	174	103	106
PCSK4	78	72	24	23
REEP6	129	116	68	86
ADAMTSL5	52	34	12	18
PLK5	9	12	8	12
MEX3D	303	284	240	246
MBD3	1397	1131	711	680
UQCR11	1588	1709	865	944
TCF3	876	932	762	838
ONECUT3	2	0	1	0
ATP8B3	76	83	27	34
REXO1	351	303	286	352
MIR1909	0	0	0	0
LOC100288123	30	24	11	28
KLF16	301	260	217	232
ABHD17A	59	82	31	50
ADAT3	35	38	31	41
SCAMP4	430	449	282	354
CSNK1G2	1114	984	711	799
CSNK1G2-AS1	7	11	7	7
BTBD2	1168	1183	594	577
MKNK2	1101	1073	527	592
MOB3A	255	235	160	157
IZUMO4	12	10	5	11
AP3D1	2370	2311	1581	1760
DOT1L	975	921	567	642
PLEKHJ1	480	503	284	269
MIR1227	0	1	0	1
MIR6789	0	0	0	0
SF3A2	912	976	555	624
AMH	69	61	46	67
MIR4321	0	0	0	0
JSRP1	1	1	0	1
OAZ1	5561	5573	3833	4057
C19orf35	15	21	9	8
LINGO3	17	16	3	11
LSM7	717	740	371	400
SPPL2B	227	234	113	113
TMPRSS9	30	19	27	15
TIMM13	547	519	390	393
LMNB2	3430	3370	2319	2355
MIR7108	0	0	0	0
GADD45B	299	304	224	221
GNG7	231	229	177	178
MIR7850	1	2	0	1
DIRAS1	868	793	451	478
SLC39A3	299	323	192	209
SGTA	1004	899	621	636
THOP1	1213	1158	750	764
ZNF554	344	325	83	84
ZNF555	1212	1227	366	388
ZNF556	5	4	4	2
ZNF57	371	358	225	237
ZNF77	356	357	159	175
TLE6	41	39	14	10
TLE2	160	116	73	82
AES	1517	1463	836	946
GNA11	850	817	667	666
GNA15	3	0	1	1
LOC100996351	0	1	0	1
S1PR4	2	0	0	0
NCLN	494	494	498	538
CELF5	108	103	25	41
NFIC	568	650	469	535
SMIM24	25	18	3	6
DOHH	77	50	62	57
FZR1	431	463	262	278
C19orf71	29	28	14	18
MFSD12	190	155	125	164
HMG20B	1630	1598	699	723
GIPC3	222	185	134	139
TBXA2R	19	9	8	7
CACTIN-AS1	2	2	0	2
CACTIN	190	172	125	129
PIP5K1C	308	329	269	264
TJP3	66	58	28	25
APBA3	181	175	73	74
MRPL54	537	568	216	234
RAX2	3	1	1	0
MATK	389	363	219	203
ZFR2	4	1	7	4
ATCAY	7	5	13	9
NMRK2	12	10	8	7
DAPK3	341	359	231	237
MIR637	6	4	5	2
EEF2	65995	64840	27398	29612
SNORD37	10	17	9	13
PIAS4	370	381	239	277
ZBTB7A	460	457	360	451
MAP2K2	1090	1065	569	671
CREB3L3	1	0	1	3
SIRT6	167	174	104	103
ANKRD24	50	39	15	16
EBI3	1	4	1	1
CCDC94	123	117	136	127
SHD	29	17	13	12
TMIGD2	3	2	1	1
FSD1	279	298	150	170
STAP2	21	23	15	27
MPND	138	135	74	98
SH3GL1	1063	936	605	721
CHAF1A	2316	2161	1481	1631
UBXN6	939	870	399	444
MIR4746	1	1	1	2
HDGFRP2	1415	1382	868	878
PLIN4	50	25	40	20
PLIN5	29	20	4	6
LRG1	0	5	1	2
SEMA6B	137	111	92	111
TNFAIP8L1	230	210	100	127
MYDGF	1051	997	402	430
DPP9	352	318	409	456
DPP9-AS1	22	21	15	15
MIR7-3HG	3	1	1	7
MIR7-3	38	24	9	21
FEM1A	816	843	739	743
TICAM1	23	36	19	49
PLIN3	321	344	259	278
ARRDC5	0	0	0	0
UHRF1	604	470	488	502
MIR4747	1	2	1	1
KDM4B	821	832	419	447
PTPRS	2164	2168	1217	1341
ZNRF4	0	0	0	1
TINCR	23	17	25	17
SAFB2	678	608	426	489
SAFB	1615	1514	1209	1358
C19orf70	307	335	181	161
HSD11B1L	188	145	42	67
RPL36	12135	12564	4634	4939
LONP1	2127	2025	843	920
CATSPERD	19	13	47	40
PRR22	18	12	8	14
DUS3L	214	213	163	172
NRTN	64	61	26	31
FUT6	3	4	4	3
FUT3	19	28	10	15
LOC101928844	18	13	7	6
FUT5	13	20	4	4
NDUFA11	977	1005	593	572
VMAC	64	77	31	38
CAPS	45	55	21	22
RANBP3	872	826	575	609
LOC100128568	12	3	0	4
RFX2	130	117	68	73
ACSBG2	122	123	40	45
MLLT1	811	777	544	636
ACER1	0	0	0	0
CLPP	502	522	286	314
ALKBH7	262	251	88	95
PSPN	9	5	1	2
GTF2F1	1190	1092	668	777
MIR6885	0	1	1	1
MIR6790	0	0	0	0
KHSRP	3874	4108	2974	3452
MIR3940	0	0	1	1
SLC25A41	2	1	1	2
SLC25A23	593	584	441	461
CRB3	4	3	0	2
DENND1C	55	49	18	14
TUBB4A	233	229	183	226
TNFSF9	67	61	45	60
CD70	99	122	25	34
TNFSF14	0	1	2	2
C3	194	192	55	59
GPR108	828	745	248	268
MIR6791	2	1	0	0
TRIP10	1142	1164	502	583
SH2D3A	53	33	24	25
VAV1	158	135	42	68
ADGRE1	13	12	10	10
ADGRE4P	0	1	1	2
FLJ25758	1	0	0	1
MBD3L5	0	0	0	0
MBD3L4	0	0	0	0
MBD3L2	0	0	0	0
MBD3L3	0	0	0	0
ZNF557	621	646	500	529
INSR	1587	1531	807	935
ARHGEF18	461	493	361	367
LOC100128573	11	6	0	5
PEX11G	51	58	18	15
C19orf45	40	22	13	10
ZNF358	380	335	193	213
MCOLN1	109	80	67	89
PNPLA6	308	301	187	211
CAMSAP3	206	197	141	154
MIR6792	0	0	1	0
XAB2	567	562	247	272
PET100	192	211	109	109
PCP2	19	16	8	14
STXBP2	304	301	201	226
RETN	0	0	0	0
MCEMP1	4	1	5	4
TRAPPC5	290	305	144	160
FCER2	2	3	0	0
CLEC4G	0	0	1	0
CD209	6	4	2	6
CLEC4M	0	0	0	0
CLEC4GP1	0	0	0	0
EVI5L	234	231	120	131
PRR36	90	81	43	67
LYPLA2P2	13	12	18	12
LRRC8E	290	219	145	175
MAP2K7	865	753	411	448
TGFBR3L	7	3	1	4
SNAPC2	98	81	49	45
CTXN1	107	69	81	72
TIMM44	1474	1403	664	692
ELAVL1	2390	2523	1786	1973
CCL25	1	1	1	0
FBN3	48	50	15	11
CERS4	238	224	94	91
CD320	289	277	248	254
NDUFA7	865	1072	309	365
RPS28	90	79	45	48
KANK3	136	114	57	60
ANGPTL4	22	21	21	9
RAB11B-AS1	45	52	23	24
MIR4999	0	1	1	4
RAB11B	364	320	244	239
02-Mar	131	82	51	68
HNRNPM	2773	2875	2987	3332
PRAM1	6	5	5	1
ZNF414	82	75	35	37
MYO1F	66	60	22	23
ADAMTS10	111	129	45	34
ACTL9	0	0	0	0
OR2Z1	0	0	0	0
ZNF558	2	1	2	3
MBD3L1	0	0	0	1
MUC16	22	16	25	38
OR1M1	0	0	0	1
OR7G2	0	0	1	0
OR7G1	0	0	0	0
OR7G3	0	0	0	0
ZNF317	711	669	689	699
OR7D2	5	7	3	0
OR7D4	0	0	1	0
OR7E24	1	0	1	0
ZNF699	252	250	96	103
ZNF559	768	837	266	262
ZNF559-ZNF177	8	4	0	5
ZNF177	1	0	0	1
ZNF266	1156	1086	430	485
ZNF560	5	3	3	4
ZNF426	274	306	154	144
ZNF121	1687	1780	759	787
ZNF561	966	994	453	487
ZNF561-AS1	84	105	41	43
ZNF562	1543	1587	830	786
ZNF812	0	0	3	0
ZNF846	120	114	46	40
FBXL12	358	368	141	125
UBL5	1348	1607	963	1029
PIN1	754	680	373	385
OLFM2	238	245	79	92
COL5A3	3	3	2	6
RDH8	0	1	0	0
MIR5589	0	0	0	0
C3P1	2	3	1	0
C19orf66	29	23	14	16
ANGPTL6	2	6	3	0
PPAN-P2RY11	0	0	0	0
PPAN	94	85	63	82
SNORD105	4	10	3	3
SNORD105B	2	6	5	5
P2RY11	39	22	21	26
EIF3G	1566	1560	938	980
DNMT1	5227	4905	3001	3432
S1PR2	181	211	103	136
MIR4322	0	1	0	0
MRPL4	692	681	473	538
ICAM1	32	24	18	10
ICAM4	39	30	21	21
ICAM5	156	131	68	66
ZGLP1	28	21	10	19
FDX1L	121	134	100	113
RAVER1	677	611	489	540
ICAM3	65	78	55	74
TYK2	782	752	420	445
CDC37	1967	1753	1298	1401
MIR1181	0	0	0	0
PDE4A	138	89	99	125
KEAP1	443	419	346	339
S1PR5	58	56	38	44
ATG4D	208	194	118	118
MIR1238	0	0	0	0
KRI1	751	651	532	536
CDKN2D	96	98	42	46
AP1M2	8	11	4	8
SLC44A2	746	725	428	505
ILF3-AS1	416	404	183	173
ILF3	8928	9177	7004	7819
QTRT1	180	163	142	136
DNM2	2483	2289	1325	1406
MIR638	0	1	1	1
MIR4748	3	1	1	1
MIR199A1	3	2	1	0
MIR6793	0	2	1	1
TMED1	358	405	205	219
C19orf38	40	45	9	15
CARM1	1683	1550	934	981
YIPF2	726	724	228	260
C19orf52	198	202	144	129
SMARCA4	2890	2915	2028	2288
LDLR	742	748	458	519
MIR6886	0	0	0	0
SPC24	406	432	181	196
KANK2	258	293	211	233
DOCK6	513	462	203	259
C19orf80	8	3	5	0
TSPAN16	20	18	12	8
RAB3D	610	641	383	376
TMEM205	450	432	227	281
CCDC159	41	34	10	12
LPPR2	276	228	149	181
SWSAP1	51	40	17	34
EPOR	189	181	98	100
RGL3	1	3	0	0
CCDC151	89	57	31	38
PRKCSH	2216	2246	1097	1317
ELAVL3	1	2	6	7
ZNF653	54	55	39	33
MIR7974	0	0	1	0
ECSIT	410	353	194	227
CNN1	8	7	3	3
ELOF1	452	424	302	351
ACP5	19	12	6	5
ZNF627	691	812	343	308
HNRNPA1P10	86	87	35	36
ZNF833P	160	162	61	70
ZNF823	475	506	195	230
ZNF441	179	243	95	78
ZNF491	5	6	1	6
ZNF440	213	246	143	163
ZNF439	9	18	12	11
ZNF69	2	5	2	1
ZNF700	223	247	92	84
ZNF763	3	5	2	1
ZNF433	22	32	9	11
ZNF878	1	1	3	2
ZNF844	7	7	9	8
ZNF788	3	3	1	3
ZNF625-ZNF20	0	0	0	0
ZNF20	0	0	0	0
ZNF625	0	2	1	1
ZNF136	125	107	47	52
LOC100289333	0	5	0	0
ZNF44	52	67	39	42
ZNF563	7	14	4	9
ZNF442	13	25	8	11
ZNF799	237	247	93	107
ZNF443	203	222	106	108
ZNF709	352	407	143	162
ZNF564	523	565	230	273
ZNF490	337	297	170	150
ZNF791	686	681	361	380
MAN2B1	654	632	276	328
WDR83	181	162	95	114
WDR83OS	759	672	304	326
DHPS	1025	873	376	387
FBXW9	114	123	91	74
TNPO2	1790	1749	1216	1329
SNORD41	77	65	25	43
C19orf43	2073	1941	925	1030
ASNA1	358	356	340	330
BEST2	6	7	3	5
HOOK2	210	183	87	86
MIR5684	1	0	0	1
JUNB	191	198	157	202
PRDX2	1941	1634	1276	1284
RNASEH2A	2042	1946	846	829
RTBDN	23	10	10	13
MAST1	257	218	98	108
MIR6794	0	0	0	0
DNASE2	408	383	186	226
KLF1	5	1	4	3
GCDH	128	126	125	130
SYCE2	55	72	21	28
MIR5695	0	4	1	0
FARSA	1327	1215	835	789
CALR	11536	11386	5888	6007
MIR6515	0	0	0	1
RAD23A	1737	1781	876	971
GADD45GIP1	601	605	309	379
DAND5	12	4	2	4
NFIX	255	215	206	268
LYL1	1	1	2	1
TRMT1	365	312	295	336
NACC1	632	623	632	713
STX10	532	456	254	278
IER2	375	347	263	259
CACNA1A	2	2	0	3
CCDC130	373	360	153	176
MRI1	1002	1074	788	776
C19orf53	978	1017	507	550
ZSWIM4	94	97	61	67
LOC284454	14	13	2	6
MIR24-2	0	0	1	1
MIR27A	0	1	0	0
MIR23A	3	0	4	2
MIR181C	0	3	0	1
MIR181D	2	3	0	0
NANOS3	12	11	5	7
C19orf57	190	203	68	80
CC2D1A	661	551	308	325
PODNL1	12	9	4	7
DCAF15	364	384	216	212
RFX1	202	167	114	151
RLN3	1	1	1	3
IL27RA	134	136	81	108
PALM3	97	81	57	70
LOC113230	60	43	17	25
MIR1199	0	0	0	0
C19orf67	7	10	3	2
SAMD1	183	163	151	160
PRKACA	1020	1082	689	848
ASF1B	603	647	466	501
LOC100507373	171	120	87	77
ADGRL1	1149	1067	787	925
ADGRE5	147	144	99	97
DDX39A	1164	1123	1012	1095
PKN1	1325	1376	807	885
PTGER1	1	1	1	1
GIPC1	981	895	604	640
DNAJB1	1051	1157	1609	1658
MIR639	0	0	0	0
TECR	329	296	202	242
NDUFB7	413	396	191	237
CLEC17A	1	0	0	1
ADGRE3	1	0	2	0
ZNF333	182	222	74	83
ADGRE2	16	32	1	1
OR7C1	0	0	0	0
OR7A5	0	0	1	1
OR7A10	0	0	1	0
OR7A17	0	0	1	0
OR7C2	0	0	0	1
SLC1A6	4	5	2	2
CCDC105	0	1	0	0
CASP14	0	0	2	2
OR1I1	0	0	2	0
SYDE1	291	301	213	210
ILVBL	709	665	289	291
NOTCH3	643	544	371	416
MIR6795	0	0	0	0
EPHX3	3	0	2	8
BRD4	2072	2135	1401	1698
AKAP8	716	626	458	513
AKAP8L	1373	1325	802	812
WIZ	371	327	315	335
MIR1470	0	0	0	0
RASAL3	1	1	0	1
PGLYRP2	0	0	0	0
CYP4F22	28	19	7	11
CYP4F8	0	0	1	1
CYP4F3	7	10	6	9
CYP4F12	0	1	0	0
OR10H2	0	0	0	0
OR10H3	0	0	0	1
CYP4F24P	0	0	0	0
OR10H5	0	0	0	0
OR10H1	0	0	0	0
UCA1	3	3	1	3
LOC102724279	0	0	0	0
CYP4F2	2	8	3	5
CYP4F11	0	0	0	1
OR10H4	0	0	0	0
LINC00661	0	0	0	0
LINC00905	1	0	0	0
TPM4	2243	2399	1220	1271
RAB8A	1201	1207	893	1011
HSH2D	11	21	15	10
CIB3	0	0	0	0
FAM32A	1153	1187	749	770
AP1M1	730	744	463	467
KLF2	28	22	14	19
EPS15L1	1146	1088	553	599
CALR3	18	8	11	8
C19orf44	455	442	233	271
CHERP	678	717	570	653
SLC35E1	1378	1291	838	898
MED26	307	310	205	237
SMIM7	1237	1374	700	675
TMEM38A	79	67	33	45
NWD1	7	9	8	9
SIN3B	761	762	429	497
F2RL3	2	1	2	1
CPAMD8	20	27	5	9
HAUS8	552	509	186	256
MYO9B	1076	987	672	715
USE1	254	270	105	105
OCEL1	132	111	64	68
NR2F6	501	487	329	341
USHBP1	3	3	1	2
BABAM1	1084	1086	647	632
ANKLE1	22	14	11	16
ABHD8	144	137	86	107
MRPL34	595	604	360	378
DDA1	409	366	259	306
ANO8	234	238	106	106
GTPBP3	626	595	402	460
PLVAP	0	0	0	1
BST2	61	66	21	28
MVB12A	415	384	166	209
BISPR	47	26	10	14
TMEM221	27	40	12	19
NXNL1	2	0	0	1
SLC27A1	164	130	35	45
PGLS	591	580	278	255
FAM129C	5	5	1	2
COLGALT1	1578	1527	1061	1107
UNC13A	144	135	60	55
MAP1S	210	216	187	194
FCHO1	95	64	47	44
B3GNT3	8	3	7	7
INSL3	5	0	2	1
JAK3	171	145	43	53
RPL18A	419	419	198	221
SNORA68	285	417	97	171
SLC5A5	47	31	15	29
CCDC124	496	523	418	443
KCNN1	36	53	30	44
ARRDC2	134	124	108	127
IL12RB1	2	3	3	2
MAST3	248	241	182	186
PIK3R2	785	694	454	465
IFI30	321	276	191	203
MPV17L2	166	165	168	160
RAB3A	92	79	68	89
PDE4C	46	51	37	45
LOC729966	0	0	1	1
KIAA1683	6	7	45	31
JUND	854	847	289	376
MIR3188	0	2	1	0
LSM4	2759	3023	1616	1611
PGPEP1	756	683	262	304
GDF15	31	50	15	2
MIR3189	0	1	0	1
LRRC25	0	0	0	1
SSBP4	247	208	168	143
ISYNA1	886	762	483	492
ELL	232	216	152	187
FKBP8	2350	2197	1068	1057
KXD1	1577	1535	733	702
UBA52	10934	11242	4014	4269
C19orf60	95	95	60	55
CRLF1	87	99	39	38
TMEM59L	191	157	90	91
KLHL26	71	90	77	82
CRTC1	363	361	121	131
COMP	35	34	19	15
UPF1	1396	1485	921	1094
GDF1	0	0	0	0
CERS1	77	85	68	66
COPE	1073	953	477	447
DDX49	455	410	383	382
HOMER3	106	80	59	74
SUGP2	4000	4127	1764	1958
ARMC6	495	411	367	420
SLC25A42	256	230	86	102
TMEM161A	382	302	210	205
MEF2B	1	1	0	0
MEF2BNB-MEF2B	0	0	0	0
MEF2BNB	131	106	86	86
RFXANK	276	289	180	152
NR2C2AP	200	276	183	159
NCAN	12	19	17	19
HAPLN4	16	17	3	6
TM6SF2	35	29	17	15
SUGP1	449	435	237	254
MAU2	729	708	374	443
GATAD2A	1586	1450	1321	1497
MIR640	3	2	0	0
TSSK6	24	31	9	12
NDUFA13	2160	2267	924	1061
YJEFN3	65	52	38	34
CILP2	93	95	82	79
PBX4	88	52	24	32
LPAR2	42	32	10	14
GMIP	138	150	60	77
ATP13A1	443	381	334	418
ZNF101	537	568	284	347
ZNF14	493	470	281	270
LINC00663	94	104	13	12
ZNF506	107	137	39	43
ZNF253	7	6	2	4
ZNF93	6	4	1	3
ZNF682	3	7	4	4
ZNF90	3	4	2	1
ZNF486	5	6	3	1
ZNF826P	4	4	3	5
MIR1270	0	0	0	0
ZNF737	15	8	2	3
ZNF626	4	0	5	2
ZNF85	81	86	37	31
ZNF430	537	599	308	319
ZNF714	2591	2798	1184	1475
ZNF431	734	802	360	420
ZNF708	524	617	283	305
ZNF738	435	480	159	194
ZNF493	310	345	102	139
LINC00664	2	0	0	1
ZNF429	120	102	56	65
ZNF100	473	516	229	271
LOC641367	47	58	21	30
ZNF43	11	11	4	4
ZNF208	15	10	7	5
ZNF257	11	10	4	3
ZNF676	14	11	8	5
ZNF729	6	3	0	1
ZNF98	28	14	8	1
LOC101929124	0	0	0	1
LINC01233	0	0	0	0
GOLGA2P9	6	0	2	0
LOC100996349	3	2	1	1
ZNF492	54	43	24	18
ZNF99	11	10	3	6
ZNF728	1	0	1	1
LOC101929164	0	0	0	0
LOC101929144	0	0	0	0
ZNF730	4	3	0	0
ZNF724P	173	153	78	81
IPO5P1	462	460	281	302
ZNF91	160	179	53	58
LINC01224	2	0	2	0
ZNF675	418	465	167	205
ZNF681	41	47	14	11
RPSAP58	8009	8590	2752	3062
ZNF726	20	25	10	15
ZNF254	960	1027	409	481
HAVCR1P1	1	2	2	0
LINC00662	66	64	37	38
LOC101927151	86	90	44	36
LOC100420587	0	0	0	0
LINC00906	1	0	0	0
LOC102724958	0	0	0	0
LINC01532	0	0	0	1
UQCRFS1	940	982	555	591
LOC284395	3	0	0	0
VSTM2B	6	8	2	1
POP4	775	833	490	465
PLEKHF1	82	61	32	25
C19orf12	686	700	353	403
CCNE1	452	480	373	408
URI1	4418	4555	1933	2176
ZNF536	395	349	178	192
TSHZ3	438	428	215	264
THEG5	0	0	0	0
LINC01533	0	0	0	0
LOC101927411	1	0	0	0
ZNF507	2629	2568	1907	2016
LOC400684	17	19	8	9
DPY19L3	1232	1286	574	615
PDCD5	1869	2268	1118	1087
ANKRD27	1907	1816	1020	1126
RGS9BP	56	32	27	25
NUDT19	317	312	213	246
TDRD12	9	3	2	4
SLC7A9	2	2	7	3
CEP89	369	444	209	211
FAAP24	84	81	40	55
RHPN2	317	319	236	311
GPATCH1	418	502	360	378
WDR88	35	36	17	18
LRP3	312	326	257	261
SLC7A10	1	2	4	3
CEBPA	216	173	125	154
CEBPA-AS1	82	88	43	44
CEBPG	8470	9481	1856	1926
PEPD	213	208	219	251
CHST8	71	54	19	21
KCTD15	982	962	465	441
LSM14A	3328	3724	2218	2451
KIAA0355	844	927	449	462
GPI	3922	3876	2528	2849
PDCD2L	525	503	258	258
UBA2	9100	10150	5258	5610
WTIP	70	88	51	51
SCGB1B2P	2	1	0	2
SCGB2B2	0	1	0	0
SCGB2B3P	3	1	1	1
ZNF302	1142	1313	353	419
ZNF181	440	434	102	123
ZNF599	56	58	27	25
LOC400685	5	5	1	1
LINC00904	0	0	0	0
ZNF30-AS1	3	10	0	1
ZNF30	360	403	127	146
ZNF792	215	224	125	114
GRAMD1A	593	506	297	283
SCN1B	7	18	9	16
HPN	0	2	1	0
HPN-AS1	2	1	1	0
FXYD3	2	6	5	3
MIR6887	0	0	0	0
LGI4	13	10	2	2
FXYD1	6	5	5	4
FXYD7	3	3	3	0
FXYD5	401	354	173	186
FAM187B	0	2	0	1
LSR	321	406	193	208
USF2	752	724	521	520
HAMP	0	0	0	0
MAG	6	5	1	1
CD22	10	6	1	2
MIR5196	0	0	0	0
FFAR1	0	0	0	0
FFAR3	0	0	0	0
LINC01531	3	1	2	0
FFAR2	1	0	2	2
KRTDAP	14	7	5	6
DMKN	1629	1703	770	803
SBSN	4	4	6	7
GAPDHS	136	139	80	82
TMEM147-AS1	207	251	93	113
TMEM147	1122	1164	609	613
ATP4A	12	5	6	7
LOC102723617	2	3	0	2
HAUS5	873	935	398	466
RBM42	454	524	367	393
ETV2	22	16	15	8
COX6B1	2183	2297	1222	1344
UPK1A	17	16	5	2
UPK1A-AS1	4	9	0	0
ZBTB32	17	20	8	13
KMT2B	816	745	535	610
IGFLR1	33	31	18	19
U2AF1L4	96	98	41	33
PSENEN	850	969	399	371
LIN37	120	103	58	68
HSPB6	14	21	12	6
PROSER3	196	212	97	128
ARHGAP33	108	120	50	51
LINC01529	0	0	1	0
PRODH2	0	0	0	1
NPHS1	5	2	4	4
KIRREL2	6	2	4	0
APLP1	358	314	169	188
NFKBID	61	42	35	28
HCST	4	5	1	1
TYROBP	1	0	0	1
LRFN3	74	62	66	51
SDHAF1	253	277	124	151
SYNE4	9	10	3	10
ALKBH6	132	134	55	77
LOC101927572	37	42	13	9
CLIP3	71	105	34	37
THAP8	37	53	19	25
WDR62	665	688	437	482
OVOL3	3	1	2	1
POLR2I	563	506	260	288
TBCB	1074	1142	533	540
CAPNS1	2484	2612	1177	1266
COX7A1	10	9	3	4
ZNF565	102	110	35	43
ZNF146	9442	9827	3652	3818
LOC100134317	0	0	0	0
LINC00665	17	17	5	5
ZFP14	554	598	189	192
ZFP82	5	2	2	3
LOC644189	0	0	0	0
ZNF566	603	708	226	211
LOC728752	14	13	6	4
ZNF260	1111	1326	446	533
ZNF529	839	968	290	361
ZNF529-AS1	61	59	19	20
ZNF382	278	277	106	93
ZNF461	308	361	142	168
LINC01534	58	47	18	12
ZNF567	772	916	308	305
ZNF850	623	658	440	470
LOC728485	40	56	14	24
ZNF790-AS1	7	10	5	4
ZNF790	190	245	98	115
ZNF345	269	330	82	72
ZNF829	361	441	144	143
ZNF568	376	406	126	135
ZNF420	837	920	288	298
ZNF585A	961	1070	394	348
ZNF585B	378	373	173	153
ZNF383	248	236	99	104
LINC01535	34	32	8	7
LOC284412	3	2	1	1
HKR1	322	350	100	97
ZNF527	293	339	111	118
ZNF569	985	1154	338	351
ZNF570	353	356	125	170
ZNF793-AS1	2	5	0	0
ZNF793	35	34	11	19
ZNF571-AS1	92	75	27	15
ZNF540	150	169	63	75
ZNF571	396	453	105	108
ZFP30	1247	1308	479	533
ZNF781	14	11	4	0
ZNF607	469	477	201	202
ZNF573	389	397	146	125
LOC644554	1	0	1	1
LOC100631378	0	2	0	0
WDR87	4	6	1	1
SIPA1L3	395	416	284	336
DPF1	190	183	102	134
PPP1R14A	139	116	55	63
SPINT2	1008	1037	451	469
YIF1B	658	618	268	243
C19orf33	0	0	0	0
KCNK6	1	0	0	1
CATSPERG	54	55	33	21
PSMD8	2257	2389	1228	1306
GGN	12	11	10	7
SPRED3	35	34	32	30
FAM98C	92	102	29	41
RASGRP4	6	12	6	5
RYR1	40	24	11	12
MAP4K1	51	49	15	30
EIF3K	3850	3949	1679	1682
ACTN4	1885	1737	1297	1398
CAPN12	36	15	8	6
LGALS7	0	0	0	0
LGALS7B	0	0	0	0
LGALS4	3	3	2	1
ECH1	779	660	345	342
HNRNPL	3201	3392	2666	2920
RINL	7	11	5	5
SIRT2	429	440	217	188
NFKBIB	247	269	142	161
CCER2	8	4	6	6
SARS2	280	279	149	156
MRPS12	364	374	235	262
FBXO17	756	668	252	300
FBXO27	112	100	54	59
PAPL	0	3	2	1
PAK4	445	429	331	296
NCCRP1	1	1	1	4
SYCN	0	0	0	0
IFNL3	0	0	0	0
IFNL4	0	0	0	0
IFNL2	2	0	0	2
IFNL1	3	1	0	0
LRFN1	185	180	159	159
GMFG	1	7	2	4
SAMD4B	804	772	693	776
PAF1	804	751	623	718
MED29	517	514	308	382
ZFP36	56	55	62	50
MIR4530	0	0	0	0
PLEKHG2	371	403	275	356
RPS16	18526	19408	6213	6535
SUPT5H	1443	1346	856	995
TIMM50	1218	1251	848	809
DLL3	212	190	87	96
SELV	9	7	1	2
EID2B	255	258	91	100
EID2	398	470	265	363
LGALS13	0	0	1	0
LOC100129935	0	2	1	2
LGALS16	0	0	0	0
LGALS17A	0	0	0	0
LGALS14	0	0	2	2
CLC	0	0	0	0
LEUTX	0	0	0	1
DYRK1B	191	202	69	73
MIR6719	1	0	0	1
FBL	6338	6250	2965	3232
FCGBP	34	25	11	12
PSMC4	1317	1277	969	1026
ZNF546	786	813	355	410
ZNF780B	593	640	326	344
ZNF780A	1506	1446	720	760
MAP3K10	303	239	116	121
TTC9B	0	4	0	0
CNTD2	1	1	2	6
AKT2	1354	1325	796	852
MIR641	24	21	8	7
C19orf47	268	241	171	172
PLD3	1326	1169	508	540
MIR6796	0	2	0	1
HIPK4	1	2	5	5
PRX	101	98	55	48
SERTAD1	78	79	60	51
SERTAD3	345	328	221	228
BLVRB	407	448	208	216
SPTBN4	77	95	37	37
SHKBP1	490	455	269	261
LTBP4	708	661	318	335
NUMBL	411	476	273	331
ADCK4	377	370	142	158
ITPKC	276	231	141	113
C19orf54	384	370	210	267
SNRPA	1989	1804	895	936
MIA	2	0	2	4
MIA-RAB4B	0	0	0	0
RAB4B-EGLN2	0	0	0	0
RAB4B	0	0	0	0
EGLN2	1	0	2	0
CYP2A6	3	0	2	3
CYP2A7	0	0	1	1
CYP2G1P	1	0	3	5
CYP2B7P	4	2	5	3
CYP2B6	1	2	3	1
CYP2A13	0	0	0	0
CYP2F1	0	0	0	0
CYP2S1	86	88	27	35
AXL	29	18	22	14
HNRNPUL1	7189	7201	4286	4767
CCDC97	528	510	340	332
TGFB1	258	241	177	205
B9D2	24	28	17	19
TMEM91	107	96	36	22
EXOSC5	244	269	147	154
BCKDHA	492	484	194	171
B3GNT8	13	10	5	4
ATP5SL	718	610	360	400
ERICH4	1	1	2	0
PCAT19	2	4	1	3
LINC01480	6	4	1	2
CEACAM21	1	1	0	0
CEACAM4	0	0	0	0
CEACAM7	0	0	0	2
CEACAM5	2	0	3	0
CEACAM6	1	0	1	1
CEACAM3	0	2	0	0
LYPD4	1	0	0	1
DMRTC2	0	1	0	1
RPS19	18624	19579	5733	5675
MIR6797	2	6	5	1
CD79A	5	1	3	7
ARHGEF1	296	290	156	170
RABAC1	380	437	226	200
ATP1A3	375	319	153	171
GRIK5	39	34	18	16
ZNF574	204	171	123	126
POU2F2	35	35	21	19
LOC100505622	0	2	0	0
MIR4323	0	0	0	0
DEDD2	351	311	175	157
ZNF526	293	271	171	200
GSK3A	1118	1168	753	767
ERF	511	477	330	360
CIC	499	391	415	457
PAFAH1B3	282	255	201	198
PRR19	3	5	10	12
TMEM145	47	68	30	32
